ID_ESTABLECIMIENTO,nombre,latitud,longitud,estado,Municipio_Establecimiento,Tipo_Establecimeinto,Nombre_POI,Latitud_POI,Longitud_POI,Costo_POI,tiempoEstancia_POI,descripcion_POI,Municipio_POI,ID_RUTA,Nombre_Ruta,Costo_Ruta,tiempo_Ruta,Distancia_Ruta_KM,fecha_LOG,Hora_LOG,EVENTO_LOG,POI_NOMBRE_TIPOLOGIA,POI_TIPOLOGIA
,,,,,,, Parque agroecologico verde y agua,4.360192,-74.333150,0,180,Poi,Fusagasugá,,,,,,10/06/2021,22:45:11,Modificar,Museo de arqueologico,Arqueologico
,,,,,,, Hotel Madaura,4.327570,-74.392480,0,150,Poi,Fusagasugá,,,,,,10/06/2021,22:46:27,Modificar,Monumento a la revolución agraria,Monumento ornamental
,,,,,,, Hacienda la vuelta,4.333458,-74.492200,0,30,Poi,Tibacuy,,,,,,10/06/2021,22:46:40,Modificar,Monumento heroes del sumapaz,Monumento ornamental
,,,,,,, Granja la portada,4.361523,-74.436430,0,100,Poi,Tibacuy,,,,,,10/06/2021,22:54:10,Crear,Valle de eli,Deportes y aventura
,,,,,,,Finca la cascada,4.421570,-74.364800,0,40,Poi,Silvania,,,,,,28/06/2021,5:14:49,Crear,Cascada de la honda,Sitios Naturales
,,,,,,, Templo parroquial maria auxiliadora,4.403672,-74.387130,0,20,Poi,Silvania,,,,,,09/11/2021,23:49:02,Crear,Cascada de la honda,Deportes y aventura
,,,,,,, Casona las bromelias,4.399386,-74.384260,0,40,Poi,Silvania,,,,,,09/11/2021,23:57:43,Crear,Casona Novillero,Arquitectonico
,,,,,,, Quebrada la legia,4.258817,-74.413140,0,60,Poi,Arbelaéz,,,,,,26/01/2022,17:24:37,Modificar,Casona Novillero,Historico y artistico
,,,,,,, Cerro pan de azucar,4.244487,-74.366400,0,60,Poi,Arbelaéz,,,,,,26/01/2022,17:28:30,Modificar,Casona Tierra Grata,Arquitectonico
,,,,,,, Mesa del medio,4.280559,-74.423270,0,60,Poi,Arbelaéz,,,,,,26/01/2022,17:31:30,Modificar,Casona Tierra Grata,Historico y artistico
,,,,,,, Ecoaventura park,4.415742,-74.372170,0,150,Poi,Silvania,,,,,,26/01/2022,17:37:13,Crear,Parroquia sagrada familia,Arquitectonico
,,,,,,,El jardin,4.348508,-74.453290,5000,60,Sitio natural con mirador y piedras con petroglificos y glamping.,Tibacuy,,,,,,26/01/2022,17:37:33,Modificar,Parroquia sagrada familia,Religioso
,,,,,,,,,,,,,,,,,,,26/01/2022,18:24:22,Modificar,Parque Bonet,Sitios Naturales
,,,,,,,,,,,,,,,,,,,26/01/2022,18:24:30,Modificar,Hacienda Betania,Arquitectonico
,,,,,,,,,,,,,,,,,,,26/01/2022,18:34:27,Modificar,Hacienda Betania,Historico y artistico
,,,,,,,,,,,,,,,,,,,26/01/2022,18:34:36,Modificar,Monumento indio Sutagao,Monumento ornamental
,,,,,,,,,,,,,,,,,,,14/02/2022,22:40:27,Crear,Monumento lucho herrera,Monumento ornamental
,,,,,,,,,,,,,,,,,,,14/02/2022,22:45:09,Modificar,Cementerio,Arquitectonico
,,,,,,,,,,,,,,,,,,,14/02/2022,23:13:11,Crear,Cementerio,Religioso
,,,,,,,,,,,,,,,,,,,14/02/2022,23:23:47,Modificar,Estadio Fernando Mazuera,Deportes y aventura
,,,,,,,,,,,,,,,,,,,14/02/2022,23:28:43,Modificar,Biblioteca Manuel Maria Aya Diaz,Arquitectonico
,,,,,,,,,,,,,,,,,,,14/02/2022,23:29:03,Modificar,Mirador Chinauta,Sitios Naturales
,,,,,,,,,,,,,,,,,,,14/02/2022,23:35:59,Modificar,Fundacion vida sana,Sitios Naturales
,,,,,,,,,,,,,,,,,,,14/02/2022,23:36:41,Modificar,Parque ecologico verde y agua ,Sitios Naturales
,,,,,,,,,,,,,,,,,,,15/02/2022,0:38:46,Modificar,Hotel Madaura,Deportes y aventura
,,,,,,,,,,,,,,,,,,,15/02/2022,0:40:35,Modificar,Hacienda la vuelta,Arquitectonico
,,,,,,,,,,,,,,,,,,,15/02/2022,0:55:21,Modificar,Hacienda la vuelta,Historico y artistico
,,,,,,,,,,,,,,,,,,,15/02/2022,0:55:54,Modificar,Granja la portada,Sitios Naturales
,,,,,,,,,,,,,,,,,,,15/02/2022,1:03:51,Crear,Finca la cascada,Sitios Naturales
,,,,,,,,,,,,,,,,,,,16/02/2022,22:31:39,Modificar,Finca la cascada,Deportes y aventura
,,,,,,,,,,,,,,,,,,,31/03/2022,17:33:05,Modificar,Finca la cascada,Glamping
,,,,,,,,,,,,,,,,,,,,,,Templo parroquial maria auxiliadora,Arquitectonico
,,,,,,,,,,,,,,,,,,,,,,Templo parroquial maria auxiliadora,Religioso
,,,,,,,,,,,,,,,,,,,,,,Casona las bromelias,Arquitectonico
,,,,,,,,,,,,,,,,,,,,,,Casona las bromelias,Historico y artistico
,,,,,,,,,,,,,,,,,,,,,,Quebrada la lejia,Sitios Naturales
,,,,,,,,,,,,,,,,,,,,,,Cerro Pan de Azucar,Sitios Naturales
,,,,,,,,,,,,,,,,,,,,,,Mesa del medio,Sitios Naturales
,,,,,,,,,,,,,,,,,,,,,,Ecoaventura Park,Deportes y aventura
